date,total_cases,total_deaths,cases_in_past_day,deaths_in_past_day,cases_in_past_seven_days,deaths_in_past_seven_days
2020-01-21,1,0,1,0,1,0
2020-01-22,1,0,0,0,1,0
2020-01-23,1,0,0,0,1,0
2020-01-24,2,0,1,0,2,0
2020-01-25,3,0,1,0,3,0
2020-01-26,5,0,2,0,5,0
2020-01-27,5,0,0,0,5,0
2020-01-28,5,0,0,0,4,0
2020-01-29,5,0,0,0,4,0
2020-01-30,6,0,1,0,5,0
2020-01-31,7,0,1,0,5,0
2020-02-01,8,0,1,0,5,0
2020-02-02,11,0,3,0,6,0
2020-02-03,11,0,0,0,6,0
2020-02-04,11,0,0,0,6,0
2020-02-05,12,0,1,0,7,0
2020-02-06,12,0,0,0,6,0
2020-02-07,12,0,0,0,5,0
2020-02-08,12,0,0,0,4,0
2020-02-09,12,0,0,0,1,0
2020-02-10,13,0,1,0,2,0
2020-02-11,13,0,0,0,2,0
2020-02-12,14,0,1,0,2,0
2020-02-13,15,0,1,0,3,0
2020-02-14,15,0,0,0,3,0
2020-02-15,15,0,0,0,3,0
2020-02-16,15,0,0,0,3,0
2020-02-17,25,0,10,0,12,0
2020-02-18,25,0,0,0,12,0
2020-02-19,25,0,0,0,11,0
2020-02-20,27,0,2,0,12,0
2020-02-21,30,0,3,0,15,0
2020-02-22,30,0,0,0,15,0
2020-02-23,30,0,0,0,15,0
2020-02-24,43,0,13,0,18,0
2020-02-25,45,0,2,0,20,0
2020-02-26,60,0,15,0,35,0
2020-02-27,60,0,0,0,33,0
2020-02-28,65,0,5,0,35,0
2020-02-29,70,1,5,1,40,1
2020-03-01,88,3,18,2,58,3
2020-03-02,104,6,16,3,61,6
2020-03-03,125,10,21,4,80,10
2020-03-04,161,12,36,2,101,12
2020-03-05,228,12,67,0,168,12
2020-03-06,311,15,83,3,246,15
2020-03-07,428,19,117,4,358,18
2020-03-08,547,22,119,3,459,19
2020-03-09,748,26,201,4,644,20
2020-03-10,1018,31,270,5,893,21
2020-03-11,1263,37,245,6,1102,25
2020-03-12,1668,43,405,6,1440,31
2020-03-13,2224,50,556,7,1913,35
2020-03-14,2898,60,674,10,2470,41
2020-03-15,3600,68,702,8,3053,46
2020-03-16,4507,91,907,23,3759,65
2020-03-17,5906,117,1399,26,4888,86
2020-03-18,8350,162,2444,45,7087,125
2020-03-19,12393,212,4043,50,10725,169
2020-03-20,18012,277,5619,65,15788,227
2020-03-21,24528,360,6516,83,21630,300
2020-03-22,33073,458,8545,98,29473,390
2020-03-23,43505,579,10432,121,38998,488
2020-03-24,53938,785,10433,206,48032,668
2020-03-25,68572,1054,14634,269,60222,892
2020-03-26,85570,1353,16998,299,73177,1141
2020-03-27,102900,1770,17330,417,84888,1493
2020-03-28,123966,2300,21066,530,99438,1940
2020-03-29,142486,2718,18520,418,109413,2260
2020-03-30,163955,3368,21469,650,120450,2789
2020-03-31,188461,4304,24506,936,134523,3519
2020-04-01,215391,5325,26930,1021,146819,4271
2020-04-02,245108,6541,29717,1216,159538,5188
2020-04-03,277426,7932,32318,1391,174526,6162
2020-04-04,312525,9488,35099,1556,188559,7188
2020-04-05,338141,10856,25616,1368,195655,8138
2020-04-06,369057,12382,30916,1526,205102,9014
2020-04-07,399394,14616,30337,2234,210933,10312
2020-04-08,431214,16701,31820,2085,215823,11376
2020-04-09,465913,18821,34699,2120,220805,12280
2020-04-10,499386,21084,33473,2263,221960,13152
2020-04-11,531106,23168,31720,2084,218581,13680
2020-04-12,558249,24849,27143,1681,220108,13993
2020-04-13,584018,26613,25769,1764,214961,14231
2020-04-14,610709,29318,26691,2705,211315,14702
2020-04-15,640742,32070,30033,2752,209528,15369
2020-04-16,672355,34419,31613,2349,206442,15598
2020-04-17,703864,36708,31509,2289,204478,15624
2020-04-18,732262,38659,28398,1951,201156,15491
2020-04-19,757596,40179,25334,1520,199347,15330
2020-04-20,784991,42016,27395,1837,200973,15403
2020-04-21,810505,44688,25514,2672,199796,15370
2020-04-22,839336,47059,28831,2371,198594,14989
2020-04-23,873112,49228,33776,2169,200757,14809
2020-04-24,909853,51360,36741,2132,205989,14652
2020-04-25,944261,53327,34408,1967,211999,14668
2020-04-26,970996,54580,26735,1253,213400,14401
2020-04-27,994193,56022,23197,1442,209202,14006
2020-04-28,1018844,58416,24651,2394,208339,13728
2020-04-29,1045399,60930,26555,2514,206063,13871
2020-04-30,1075756,63140,30357,2210,202644,13912
2020-05-01,1109726,64902,33970,1762,199873,13542
2020-05-02,1139200,66485,29474,1583,194939,13158
2020-05-03,1165340,67816,26140,1331,194344,13236
2020-05-04,1187302,68905,21962,1089,193109,12883
2020-05-05,1211011,71139,23709,2234,192167,12723
2020-05-06,1235517,73847,24506,2708,190118,12917
2020-05-07,1263995,75805,28478,1958,188239,12665
2020-05-08,1291643,77380,27648,1575,181917,12478
2020-05-09,1316511,78834,24868,1454,177311,12349
2020-05-10,1336828,79766,20317,932,171488,11950
2020-05-11,1354449,80748,17621,982,167147,11843
2020-05-12,1376749,82400,22300,1652,165738,11261
2020-05-13,1397894,84168,21145,1768,162377,10321
2020-05-14,1424856,85906,26962,1738,160861,10101
2020-05-15,1451093,87499,26237,1593,159450,10119
2020-05-16,1474752,88724,23659,1225,158241,9890
2020-05-17,1493766,89568,19014,844,156938,9802
2020-05-18,1515593,90414,21827,846,161144,9666
2020-05-19,1536570,91934,20977,1520,159821,9534
2020-05-20,1559640,93411,23070,1477,161746,9243
2020-05-21,1585373,94722,25733,1311,160517,8816
2020-05-22,1609172,96010,23799,1288,158079,8511
2020-05-23,1631440,97060,22268,1050,156688,8336
2020-05-24,1651471,97680,20031,620,157705,8112
2020-05-25,1670571,98190,19100,510,154978,7776
2020-05-26,1689467,98937,18896,747,152897,7003
2020-05-27,1708211,100422,18744,1485,148571,7011
2020-05-28,1730723,101622,22512,1200,145350,6900
2020-05-29,1755271,102812,24548,1190,146099,6802
2020-05-30,1778668,103775,23397,963,147228,6715
2020-05-31,1799302,104379,20634,604,147831,6699
2020-06-01,1821199,105113,21897,734,150628,6923
2020-06-02,1841990,106195,20791,1082,152523,7258
2020-06-03,1861977,107184,19987,989,153766,6762
2020-06-04,1883593,108192,21616,1008,152870,6570
2020-06-05,1912302,109304,28709,1112,157031,6492
2020-06-06,1934818,110032,22516,728,156150,6257
2020-06-07,1953434,110422,18616,390,154132,6043
2020-06-08,1971641,111144,18207,722,150442,6031
2020-06-09,1990446,112174,18805,1030,148456,5979
2020-06-10,2013298,113103,22852,929,151321,5919
2020-06-11,2036500,113980,23202,877,152907,5788
2020-06-12,2061993,114759,25493,779,149691,5455
2020-06-13,2087327,115451,25334,692,152509,5419
2020-06-14,2106457,115768,19130,317,153023,5346
2020-06-15,2126574,116216,20117,448,154933,5072
2020-06-16,2151459,116985,24885,769,161013,4811
2020-06-17,2177114,117746,25655,761,163816,4643
2020-06-18,2205173,118473,28059,727,168673,4493
2020-06-19,2236009,119171,30836,698,174016,4412
2020-06-20,2268034,119717,32025,546,180707,4266
2020-06-21,2294413,119974,26379,257,187956,4206
2020-06-22,2324879,120334,30466,360,198305,4118
2020-06-23,2359939,121167,35060,833,208480,4182
2020-06-24,2396928,121934,36989,767,219814,4188
2020-06-25,2438101,124400,41173,2466,232928,5927
2020-06-26,2483629,125033,45528,633,247620,5862
2020-06-27,2525928,125544,42299,511,257894,5827
2020-06-28,2565436,125815,39508,271,271023,5841
2020-06-29,2604932,126162,39496,347,280053,5828
2020-06-30,2653321,127462,48389,1300,293382,6295
2020-07-01,2703296,128104,49975,642,306368,6170
2020-07-02,2758855,128827,55559,723,320754,4427
2020-07-03,2816009,129418,57154,591,332380,4385
2020-07-04,2866015,129679,50006,261,340087,4135
2020-07-05,2910782,129941,44767,262,345346,4126
2020-07-06,2958098,130332,47316,391,353166,4170
2020-07-07,3012182,131290,54084,958,358861,3828
2020-07-08,3071637,132238,59455,948,368341,4134
2020-07-09,3131526,133079,59889,841,372671,4252
2020-07-10,3199753,133907,68227,828,383744,4489
2020-07-11,3260474,134582,60721,675,394459,4903
2020-07-12,3318279,134977,57805,395,407497,5036
2020-07-13,3379846,135402,61567,425,421748,5070
2020-07-14,3445448,136356,65602,954,433266,5066
2020-07-15,3513790,137327,68342,971,442153,5089
2020-07-16,3589477,138285,75687,958,457951,5206
2020-07-17,3660400,139186,70923,901,460647,5279
2020-07-18,3722851,139961,62451,775,462377,5379
2020-07-19,3785126,140373,62275,412,466847,5396
2020-07-20,3845014,140904,59888,531,465168,5502
2020-07-21,3910291,142031,65277,1127,464843,5675
2020-07-22,3980030,143167,69739,1136,466240,5840
2020-07-23,4050036,144283,70006,1116,460559,5998
2020-07-24,4123561,145429,73525,1146,463161,6243
2020-07-25,4190337,146313,66776,884,467486,6352
2020-07-26,4244554,146753,54217,440,459428,6380
2020-07-27,4303735,148449,59181,1696,458721,7545
2020-07-28,4366851,149776,63116,1327,456560,7745
2020-07-29,4433633,151172,66782,1396,453603,8005
2020-07-30,4502581,152433,68948,1261,452545,8150
2020-07-31,4571669,153862,69088,1429,448108,8433
2020-08-01,4628497,154917,56828,1055,438160,8604
2020-08-02,4679291,155337,50794,420,434737,8584
2020-08-03,4726775,155945,47484,608,423040,7496
2020-08-04,4780324,157301,53549,1356,413473,7525
2020-08-05,4834047,158554,53723,1253,400414,7382
2020-08-06,4891561,159625,57514,1071,388980,7192
2020-08-07,4952718,160981,61157,1356,381049,7119
2020-08-08,5007958,161947,55240,966,379461,7030
2020-08-09,5056438,162486,48480,539,377147,7149
2020-08-10,5103611,163023,47173,537,376836,7078
2020-08-11,5156968,164474,53357,1451,376644,7173
2020-08-12,5211246,165952,54278,1478,377199,7398
2020-08-13,5265307,167165,54061,1213,373746,7540
2020-08-14,5324784,168341,59477,1176,372066,7360
2020-08-15,5375527,169400,50743,1059,367569,7453
2020-08-16,5417664,169914,42137,514,361226,7428
2020-08-17,5455187,170449,37523,535,351576,7426
2020-08-18,5498420,171798,43233,1349,341452,7324
2020-08-19,5541433,173093,43013,1295,330187,7141
2020-08-20,5587462,174136,46029,1043,322155,6971
2020-08-21,5636491,175297,49029,1161,311707,6956
2020-08-22,5681517,176247,45026,950,305990,6847
2020-08-23,5713850,176693,32333,446,296186,6779
2020-08-24,5754254,177197,40404,504,299067,6748
2020-08-25,5793437,178410,39183,1213,295017,6612
2020-08-26,5838756,179603,45319,1193,297323,6510
2020-08-27,5884366,180729,45610,1126,296904,6593
2020-08-28,5930930,181739,46564,1010,294439,6442
2020-08-29,5975540,182610,44610,871,294023,6363
2020-08-30,6008970,182984,33430,374,295120,6291
2020-08-31,6045455,183472,36485,488,291201,6275
2020-09-01,6089504,184563,44049,1091,296067,6153
2020-09-02,6121948,185639,32444,1076,283192,6036
2020-09-03,6168342,186717,46394,1078,283976,5988
2020-09-04,6220446,187697,52104,980,289516,5958
2020-09-05,6262700,188409,42254,712,287160,5799
2020-09-06,6292699,188820,29999,411,283729,5836
2020-09-07,6317865,189083,25166,263,272410,5611
2020-09-08,6346806,189541,28941,458,257302,4978
2020-09-09,6380138,190716,33332,1175,258190,5077
2020-09-10,6418198,191631,38060,915,249856,4914
2020-09-11,6465766,192858,47568,1227,245320,5161
2020-09-12,6504870,193559,39104,701,242170,5150
2020-09-13,6538213,193958,33343,399,245514,5138
2020-09-14,6575100,194408,36887,450,257235,5325
2020-09-15,6614317,195689,39217,1281,267511,6148
2020-09-16,6653585,196686,39268,997,273447,5970
2020-09-17,6698895,197535,45310,849,280697,5904
2020-09-18,6747782,198484,48887,949,282016,5626
2020-09-19,6789593,199154,41811,670,284723,5595
2020-09-20,6825949,199367,36356,213,287736,5409
2020-09-21,6880899,199797,54950,430,305799,5389
2020-09-22,6918290,200738,37391,941,303973,5049
2020-09-23,6959841,201828,41551,1090,306256,5142
2020-09-24,7005043,202713,45202,885,306148,5178
2020-09-25,7059624,203566,54581,853,311842,5082
2020-09-26,7102321,204335,42697,769,312728,5181
2020-09-27,7139619,204602,37298,267,313670,5235
2020-09-28,7176979,204952,37360,350,296080,5155
2020-09-29,7220676,205878,43697,926,302386,5140
2020-09-30,7262734,206852,42058,974,302893,5024
2020-10-01,7309152,207699,46418,847,304109,4986
2020-10-02,7362732,208564,53580,865,303108,4998
2020-10-03,7410511,209273,47779,709,308190,4938
2020-10-04,7445574,209606,35063,333,305955,5004
2020-10-05,7507986,210035,62412,429,331007,5083
2020-10-06,7550848,210756,42862,721,330172,4878
2020-10-07,7603865,211752,53017,996,341131,4900
2020-10-08,7660248,212680,56383,928,351096,4981
2020-10-09,7719210,213595,58962,915,356478,5031
2020-10-10,7770858,214187,51648,592,360347,4914
2020-10-11,7815641,214606,44783,419,370067,5000
2020-10-12,7863657,214957,48016,351,355671,4922
2020-10-13,7918051,215783,54394,826,367203,5027
2020-10-14,7977904,216792,59853,1009,374039,5040
2020-10-15,8043257,217585,65353,793,383009,4905
2020-10-16,8113720,218476,70463,891,394510,4881
2020-10-17,8166481,219154,52761,678,395623,4967
2020-10-18,8214363,219541,47882,387,398722,4935
2020-10-19,8279803,220058,65440,517,416146,5101
2020-10-20,8340397,220987,60594,929,422346,5204
2020-10-21,8404634,222195,64237,1208,426730,5403
2020-10-22,8479762,223023,75128,828,436505,5438
2020-10-23,8565059,223953,85297,930,451339,5477
2020-10-24,8643640,224825,78581,872,477159,5671
2020-10-25,8703355,225164,59715,339,488992,5623
2020-10-26,8777986,225701,74631,537,498183,5643
2020-10-27,8852373,226684,74387,983,511976,5697
2020-10-28,8934258,227702,81885,1018,529624,5507
2020-10-29,9024915,228706,90657,1004,545153,5683
2020-10-30,9124783,229674,99868,968,559724,5721
2020-10-31,9208993,230512,84210,838,565353,5687
2020-11-01,9283188,230940,74195,428,579833,5776
2020-11-02,9377201,231480,94013,540,599215,5779
2020-11-03,9469617,232610,92416,1130,617244,5926
2020-11-04,9577697,234226,108080,1616,643439,6524
2020-11-05,9699030,235334,121333,1108,674115,6628
2020-11-06,9831853,236582,132823,1248,707070,6908
2020-11-07,9957785,237589,125932,1007,748792,7077
2020-11-08,10061201,238053,103416,464,778013,7113
2020-11-09,10191642,238798,130441,745,814441,7318
2020-11-10,10331392,240262,139750,1464,861775,7652
2020-11-11,10474277,241693,142885,1431,896580,7467
2020-11-12,10637917,242865,163640,1172,938887,7531
2020-11-13,10819414,244255,181497,1390,987561,7673
2020-11-14,10978447,245465,159033,1210,1020662,7876
2020-11-15,11113634,246088,135187,623,1052433,8035
2020-11-16,11280194,246884,166560,796,1088552,8086
2020-11-17,11441833,248491,161639,1607,1110441,8229
2020-11-18,11614116,250415,172283,1924,1139839,8722
2020-11-19,11801631,252376,187515,1961,1163714,9511
2020-11-20,12000512,254333,198881,1957,1181098,10078
2020-11-21,12172457,255758,171945,1425,1194010,10293
2020-11-22,12313295,256601,140838,843,1199661,10513
2020-11-23,12493028,257639,179733,1038,1212834,10755
2020-11-24,12670781,259848,177753,2209,1228948,11357
2020-11-25,12851382,262161,180601,2313,1237266,11746
2020-11-26,12954275,263339,102893,1178,1152644,10963
2020-11-27,13160250,264751,205975,1412,1159738,10418
2020-11-28,13311458,265943,151208,1192,1139001,10185
2020-11-29,13447830,266761,136372,818,1134535,10160
2020-11-30,13615477,268031,167647,1270,1122449,10392
2020-12-01,13799715,270639,184238,2608,1128934,10791
2020-12-02,14000908,273525,201193,2886,1149526,11364
2020-12-03,14218646,276381,217738,2856,1264371,13042
2020-12-04,14450026,279018,231380,2637,1289776,14267
2020-12-05,14655753,281208,205727,2190,1344295,15265
2020-12-06,14827861,282319,172108,1111,1380031,15558
2020-12-07,15032213,283853,204352,1534,1416736,15822
2020-12-08,15251936,286674,219723,2821,1452221,16035
2020-12-09,15471667,289830,219731,3156,1470759,16305
2020-12-10,15696883,292771,225216,2941,1478237,16390
2020-12-11,15977425,295726,280542,2955,1527399,16708
2020-12-12,16184860,297981,207435,2255,1529107,16773
2020-12-13,16369084,299338,184224,1357,1541223,17019
2020-12-14,16570187,301016,201103,1678,1537974,17163
2020-12-15,16773147,304041,202960,3025,1521211,17367
2020-12-16,17018183,307652,245036,3611,1546516,17822
2020-12-17,17255906,310950,237723,3298,1559023,18179
2020-12-18,17507110,313820,251204,2870,1529685,18094
2020-12-19,17701052,316381,193942,2561,1516192,18400
2020-12-20,17880998,317810,179946,1429,1511914,18472
2020-12-21,18082544,319773,201546,1963,1512357,18757
2020-12-22,18284185,323012,201641,3239,1511038,18971
2020-12-23,18511969,326424,227784,3412,1493786,18772
2020-12-24,18705515,329248,193546,2824,1449609,18298
2020-12-25,18806488,330377,100973,1129,1299378,16557
2020-12-26,19023366,332023,216878,1646,1322314,15642
2020-12-27,19175459,333253,152093,1230,1294461,15443
2020-12-28,19364470,335152,189011,1899,1281926,15379
2020-12-29,19565523,338780,201053,3628,1281338,15768
2020-12-30,19794497,342588,228974,3808,1282528,16164
2020-12-31,20025508,346050,231011,3462,1319993,16802
2021-01-01,20172781,347970,147273,1920,1366293,17593
2021-01-02,20464234,350343,291453,2373,1440868,18320
2021-01-03,20666206,351694,201972,1351,1490747,18441
2021-01-04,20918047,353743,251841,2049,1553577,18591
2021-01-05,21153054,357432,235007,3689,1587531,18652
2021-01-06,21409040,361396,255986,3964,1614543,18808
2021-01-07,21689383,365507,280343,4111,1663875,19457
2021-01-08,21990011,369402,300628,3895,1817230,21432
2021-01-09,22242118,372663,252107,3261,1777884,22320
2021-01-10,22450427,374440,208309,1777,1784221,22746
2021-01-11,22676768,376488,226341,2048,1758721,22745
2021-01-12,22906569,380894,229801,4406,1753515,23462
2021-01-13,23136105,384824,229536,3930,1727065,23428
2021-01-14,23375626,388804,239521,3980,1686243,23297
2021-01-15,23615502,392553,239876,3749,1625491,23151
2021-01-16,23817713,395894,202211,3341,1575595,23231
2021-01-17,23987817,397624,170104,1730,1537390,23184
2021-01-18,24128987,399065,141170,1441,1452219,22577
2021-01-19,24315930,401836,186943,2771,1409361,20942
2021-01-20,24501438,406216,185508,4380,1365333,21392
2021-01-21,24691947,410351,190509,4135,1316321,21547
2021-01-22,24883540,414082,191593,3731,1268038,21529
2021-01-23,25051369,417404,167829,3322,1233656,21510
2021-01-24,25181146,419219,129777,1815,1193329,21595
2021-01-25,25337741,421126,156595,1907,1208754,22061
2021-01-26,25488391,425223,150650,4097,1172461,23387
2021-01-27,25644193,429326,155802,4103,1142755,23110
2021-01-28,25810196,433194,166003,3868,1118249,22843
2021-01-29,25975031,436794,164835,3600,1091491,22712
2021-01-30,26108835,439435,133804,2641,1057466,22031
2021-01-31,26222661,441299,113826,1864,1041515,22080
2021-02-01,26364558,443249,141897,1950,1026817,22123
2021-02-02,26479798,446860,115240,3611,991407,21637
2021-02-03,26600032,450703,120234,3843,955839,21377
2021-02-04,26725690,455820,125658,5117,915494,22626
2021-02-05,26855210,459390,129520,3570,880179,22596
2021-02-06,26960176,462052,104966,2662,851341,22617
2021-02-07,27047458,463353,87282,1301,824797,22054
2021-02-08,27140492,464936,93034,1583,775934,21687
2021-02-09,27236882,468106,96390,3170,757084,21246
2021-02-10,27331868,471360,94986,3254,731836,20657
2021-02-11,27437553,475238,105685,3878,711863,19418
2021-02-12,27537188,480701,99635,5463,681978,21311
2021-02-13,27621885,484073,84697,3372,661709,22021
2021-02-14,27685680,485154,63795,1081,638222,21801
2021-02-15,27740962,486148,55282,994,600470,21212
2021-02-16,27805504,487855,64542,1707,568622,19749
2021-02-17,27875699,490326,70195,2471,543831,18966
2021-02-18,27947509,492951,71810,2625,509956,17713
2021-02-19,28025535,495572,78026,2621,488347,14871
2021-02-20,28095281,497403,69746,1831,473396,13330
2021-02-21,28150478,498650,55197,1247,464798,13496
2021-02-22,28209955,500104,59477,1454,468993,13956
2021-02-23,28281868,502432,71913,2328,476364,14577
2021-02-24,28356102,505642,74234,3210,480403,15316
2021-02-25,28433989,508107,77887,2465,486480,15156
2021-02-26,28512331,510283,78342,2176,486796,14711
2021-02-27,28575034,511850,62703,1567,479753,14447
2021-02-28,28625959,512979,50925,1129,475481,14329
2021-03-01,28682681,514404,56722,1425,472726,14300
2021-03-02,28740325,515710,57644,1306,458457,13278
2021-03-03,28806976,518079,66651,2369,450874,12437
2021-03-04,28874297,520028,67321,1949,440308,11921
2021-03-05,28939995,522511,65698,2483,427664,12228
2021-03-06,28996581,523970,56586,1459,421547,12120
2021-03-07,29036710,524646,40129,676,410751,11667
2021-03-08,29131246,525466,94536,820,448565,11062
2021-03-09,29187154,527351,55908,1885,446829,11641
2021-03-10,29245366,528825,58212,1474,438390,10746
2021-03-11,29307783,530349,62417,1524,433486,10321
2021-03-12,29371984,532054,64201,1705,431989,9543
2021-03-13,29421570,533927,49586,1873,424989,9957
2021-03-14,29459576,534496,38006,569,422866,9850
2021-03-15,29516759,535245,57183,749,385513,9779
2021-03-16,29571323,536490,54564,1245,384169,9139
2021-03-17,29630260,537667,58937,1177,384894,8842
2021-03-18,29690729,539225,60469,1558,382946,8876
2021-03-19,29751393,540739,60664,1514,379409,8685
2021-03-20,29805836,541511,54443,772,384266,7584
2021-03-21,29840053,541959,34217,448,380477,7463
2021-03-22,29894782,542607,54729,648,378023,7362
2021-03-23,29951542,543500,56760,893,380219,7010
2021-03-24,30031482,545090,79940,1590,401222,7423
2021-03-25,30100610,546360,69128,1270,409881,7135
2021-03-26,30175138,547620,74528,1260,423745,6881
2021-03-27,30235860,548400,60722,780,430024,6889
2021-03-28,30280386,548890,44526,490,440333,6931
2021-03-29,30351137,549575,70751,685,456355,6968
2021-03-30,30413381,550522,62244,947,461839,7022
2021-03-31,30481337,551657,67956,1135,449855,6567
2021-04-01,30558562,552614,77225,957,457952,6254
2021-04-02,30627175,553570,68613,956,452037,5950
2021-04-03,30691312,554323,64137,753,455452,5923
2021-04-04,30728147,554595,36835,272,447761,5705
2021-04-05,30804767,555125,76620,530,453630,5550
2021-04-06,30866740,556034,61973,909,453359,5512
2021-04-07,30939835,558605,73095,2571,458498,6948
2021-04-08,31020329,559607,80494,1002,461767,6993
2021-04-09,31101914,560553,81585,946,474739,6983
2021-04-10,31166708,561257,64794,704,475396,6934
2021-04-11,31214706,561558,47998,301,486559,6963
2021-04-12,31286641,562023,71935,465,481874,6898
2021-04-13,31363983,563006,77342,983,497243,6972
2021-04-14,31439736,563941,75753,935,499901,5336
2021-04-15,31513430,564858,73694,917,493101,5251
2021-04-16,31591784,565793,78354,935,489870,5240
2021-04-17,31645696,566470,53912,677,478988,5213
2021-04-18,31687097,566828,41401,358,472391,5270
2021-04-19,31757408,567313,70311,485,470767,5290
2021-04-20,31820737,569109,63329,1796,456754,6103
2021-04-21,31880961,568985,60224,-124,441225,5044
2021-04-22,31947161,569896,66200,911,433731,5038
2021-04-23,32010938,570769,63777,873,419154,4976
2021-04-24,32061429,571494,50491,725,415733,5024
2021-04-25,32095036,571776,33607,282,407939,4948
2021-04-26,32142338,572255,47302,479,384930,4942
2021-04-27,32194233,572968,51895,713,373496,3859
2021-04-28,32249067,573902,54834,934,368106,4917
2021-04-29,32306662,574776,57595,874,359501,4880
2021-04-30,32365217,575636,58555,860,354279,4867
2021-05-01,32410030,576351,44813,715,348601,4857
2021-05-02,32439650,576663,29620,312,344614,4887
2021-05-03,32489637,577122,49987,459,347299,4867
2021-05-04,32530601,578029,40964,907,336368,5061
2021-05-05,32575334,578805,44733,776,326267,4903
2021-05-06,32623047,579637,47713,832,316385,4861
2021-05-07,32670552,580449,47505,812,305335,4813
2021-05-08,32704245,581053,33693,604,294215,4702
2021-05-09,32726605,581299,22360,246,286955,4636
2021-05-10,32763153,581669,36548,370,273516,4547
2021-05-11,32797202,582362,34049,693,266601,4333
2021-05-12,32832705,583210,35503,848,257371,4405
2021-05-13,32871138,583990,38433,780,248091,4353
2021-05-14,32912143,584722,41005,732,241591,4273
2021-05-15,32941199,585281,29056,559,236954,4228
2021-05-16,32957884,585573,16685,292,231279,4274
2021-05-17,32987153,585957,29269,384,224000,4288
2021-05-18,33015025,586824,27872,867,217823,4462
2021-05-19,33043845,587499,28820,675,211140,4289
2021-05-20,33073483,588153,29638,654,202345,4163
2021-05-21,33102484,588849,29001,696,190341,4127
2021-05-22,33120839,589328,18355,479,179640,4047
2021-05-23,33134977,589517,14138,189,177093,3944
2021-05-24,33160643,589934,25666,417,173490,3977
2021-05-25,33183461,590633,22818,699,168436,3809
2021-05-26,33206873,591599,23412,966,163028,4100
2021-05-27,33234620,592939,27747,1340,161137,4786
2021-05-28,33256347,593582,21727,643,153863,4733
2021-05-29,33267937,593920,11590,338,147098,4592
2021-05-30,33275365,594051,7428,131,140388,4534
2021-05-31,33280967,594201,5602,150,120324,4267
